"DATASET: Structure of earnings survey: monthly earnings [earn_ses_monthly]"

"LAST UPDATE: 07.08.17 14:52:28"

"EXTRACTION DATE: 29.01.20 21:57:35"

"SOURCE OF DATA: Eurostat"

"SEX"
"Total"
"Males"
"Females"

"GEO"
"European Union - 28 countries (2013-2020)"
"Euro area - 18 countries (2014)"
"Belgium"
"Bulgaria"
"Czechia"
"Denmark"
"Germany (until 1990 former territory of the FRG)"
"Estonia"
"Ireland"
"Greece"
"Spain"
"France"
"Croatia"
"Italy"
"Cyprus"
"Latvia"
"Lithuania"
"Luxembourg"
"Hungary"
"Malta"
"Netherlands"
"Austria"
"Poland"
"Portugal"
"Romania"
"Slovenia"
"Slovakia"
"Finland"
"Sweden"
"United Kingdom"
"Iceland"
"Norway"
"Switzerland"
"North Macedonia"
"Turkey"

"NACE_R2"
"Industry, construction and services (except public administration, defense, compulsory social security)"
"Business economy"
"Industry and construction"
"Services of the business economy"
"Education; human health and social work activities; arts, entertainment and recreation; other service activities"

"ISCO08"
"Total"
"Non manual workers"
"Managers"
"Professionals"
"Technicians and associate professionals"
"Clerical support workers"
"Service and sales workers"
"Skilled manual workers"
"Skilled agricultural, forestry and fishery workers"
"Craft and related trades workers"
"Plant and machine operators and assemblers"
"Elementary occupations"

"WORKTIME"
"Total"

"AGE"
"Total"
"Less than 30 years"
"From 30 to 39 years"
"From 40 to 49 years"
"From 50 to 59 years"
"60 years or over"

"TIME"
"2002"
"2006"
"2010"
"2014"

"INDIC_SE"
"Mean earnings in euro"

"Special value:"
":","not available"

